Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2309512,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CORPORACION CLINICA UNIVERSIDAD,2026-05-18,7.0,Publicado
CW2261130,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,PREVENGO S.A.S.,2026-05-18,7.0,Publicado
CW2261177,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SOLUCIONES EN ERGONOMIA Y SALUD OCU,2026-05-18,7.0,Publicado
CW2371697,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,RECUPERAMI ZOMAC S.A.S.,2026-05-18,7.0,Publicado
CW2371942,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,INSPIRA CENTRO DE APOYO PSICOPEDAGO,2026-05-18,7.0,Publicado
CW2286138,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,RECUPERAMI ZOMAC S.A.S.,2026-05-18,7.0,Publicado
CW2261197,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDACION EMPRENDAMOS,2026-05-18,7.0,Publicado
CW2285332,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CORPORACION CLINICA UNIVERSIDAD,2026-05-18,7.0,Publicado
CW2299919,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENPA IPS LTDA,2026-05-18,7.0,Publicado
CW2261197,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,FUNDACION EMPRENDAMOS,2026-05-18,7.0,Publicado
CW2292317,CONTRATO DE LICENCIAS DE TECNOLOGÍA,AutoSura,SONAR TELEMATICS S.A.S,2026-05-18,7.0,Publicado
CW2299919,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENPA IPS LTDA,2026-05-18,7.0,Publicado
CW2309512,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CORPORACION CLINICA UNIVERSIDAD,2026-05-18,7.0,Publicado
CW2285332,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CORPORACION CLINICA UNIVERSIDAD,2026-05-18,7.0,Publicado
CW2261166,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,TRAINING GROUP TAR S.A.S,2026-05-18,7.0,Publicado
CW2371942,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,INSPIRA CENTRO DE APOYO PSICOPEDAGO,2026-05-18,7.0,Publicado
CW2371697,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,RECUPERAMI ZOMAC S.A.S.,2026-05-18,7.0,Publicado
CW2261146,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,CONSULTORIAS INTEGRALES ESPECIALIZA,2026-05-18,7.0,Publicado
CW2261177,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SOLUCIONES EN ERGONOMIA Y SALUD OCU,2026-05-18,7.0,Publicado
